name	surname	firstname	midname	gender	ethnics	age	birthday	department	depjoindate	position	rank	rankdate	rankage
АЗИМОВ АНВАР САРВАРОВИЧ	Азимов	Анвар	Сарварович	m	arab	62	22.11.1950	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 	05.09.2011	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	17.11.2009	58
АЛЕКСЕЕВ АЛЕКСАНДР НИКОЛАЕВИЧ	Алексеев	Александр	Николаевич	m	slav	62	05.02.1951	ПОСОЛЬСТВО РОССИИ В ПОЛЬШЕ 	21.06.2010	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	25.08.2004	53
АЛЕКСЕЕВ АЛЕКСАНДР ЮРЬЕВИЧ	Алексеев	Александр	Юрьевич	m	slav	66	20.08.1946	ПОСТПРЕДСТВО РОССИИ ПРИ СОВЕТЕ ЕВРОПЫ В СТРАСБУРГЕ 	05.02.2007	ПОСТОЯННЫЙ ПРЕДСТАВИТЕЛЬ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	30.08.1996	50
АНДРЕЕВ СЕРГЕЙ ВАДИМОВИЧ	Андреев	Сергей	Вадимович	m	slav	54	26.06.1958	ГЕНСЕКРЕТАРИАТ (ДЕПАРТАМЕНТ) 	08.10.2010	ДИРЕКТОР ДЕПАРТАМЕНТА 	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	28.12.2004	46
АФАНАСЬЕВ ЕВГЕНИЙ ВЛАДИМИРОВИЧ	Афанасьев	Евгений	Владимирович	m	slav	65	25.05.1947	ПОСОЛЬСТВО РОССИИ В ЯПОНИИ 	20.02.2012	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	03.06.1997	50
АХМЕДОВ СТАНИСЛАВ АНВАРОВИЧ	Ахмедов	Станислав	Анварович	m	arab,slav	60	01.04.1952	ДЕПАРТАМЕНТ АФРИКИ 	04.03.2011	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	29.10.2008	56
БЕЛОУС ОЛЕГ НИКОЛАЕВИЧ	Белоус	Олег	Николаевич	m	slav	61	18.08.1951	ПЕРВЫЙ ЕВРОПЕЙСКИЙ ДЕПАРТАМЕНТ 	19.08.2011	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	24.01.2000	48
БЕЛЫЙ МИХАИЛ МИХАЙЛОВИЧ	Белый	Михаил	Михайлович	m	slav	67	20.10.1945	None	None		ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	06.08.1994	48
БЕРДЕННИКОВ ГРИГОРИЙ ВИТАЛЬЕВИЧ	Берденников	Григорий	Витальевич	m	slav	62	24.12.1950	ГРУППА ПОСЛОВ ПО ОСОБЫМ ПОРУЧЕНИЯМ МИД РФ 	25.12.2010	ПОСОЛ ПО ОСОБЫМ ПОРУЧЕНИЯМ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	05.06.1992	41
БЛОХИН АЛЕКСАНДР ВИКТОРОВИЧ	Блохин	Александр	Викторович	m	slav	62	12.01.1951	ПОСОЛЬСТВО РОССИИ В ТУРКМЕНИСТАНЕ 	05.05.2011	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	29.10.1996	45
БОГДАНОВ МИХАИЛ ЛЕОНИДОВИЧ	Богданов	Михаил	Леонидович	m	slav	60	02.03.1952	 РУКОВОДСТВО 	12.06.2011	ЗАМ.МИНИСТРА ИНОСТРАННЫХ ДЕЛ РОССИИ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	31.01.2001	48
БОЛОТИН БОРИС ФЕДОРОВИЧ	Болотин	Борис	Федорович	m	slav	62	15.10.1950	ПОСОЛЬСТВО РОССИИ В МАРОККО 	27.08.2008	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	08.11.2010	60
БОРОДАВКИН АЛЕКСЕЙ НИКОЛАЕВИЧ	Бородавкин	Алексей	Николаевич	m	slav	62	10.12.1950	ПОСТПРЕДСТВО РОССИИ ПРИ ПРИ ОТД.ООН И ДР.МО В ЖЕНЕВЕ  	05.12.2011	ПОСТПРЕД	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	28.09.2004	53
БОЧАРНИКОВ МИХАИЛ НИКОЛАЕВИЧ	Бочарников	Михаил	Николаевич	m	slav	64	06.03.1948	ПОСОЛЬСТВО РОССИИ В КАЗАХСТАНЕ 	10.12.2006	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	16.04.1997	49
БРАТЧИКОВ ИГОРЬ БОРИСОВИЧ	Братчиков	Игорь	Борисович	m	slav	56	30.09.1956	ПОСОЛЬСТВО РОССИИ В ШВЕЙЦАРИИ 	11.10.2007	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	29.12.2005	49
БУКИН СЕРГЕЙ НИКОЛАЕВИЧ	Букин	Сергей	Николаевич	m	slav	62	15.12.1950	ДЕПАРТАМЕНТ БЛИЖНЕГО ВОСТОКА И СЕВЕРНОЙ АФРИКИ 	16.12.2010	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	14.03.2006	55
БУРЛЯЙ ЯН АНАСТАСЬЕВИЧ	Бурляй	Ян	Анастасьевич	m		66	01.01.1947	ПОСОЛЬСТВО РОССИИ В ЭКВАДОРЕ 	21.10.2008	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	13.10.1992	45
ВАНИН МИХАИЛ ВАЛЕНТИНОВИЧ	Ванин	Михаил	Валентинович	m	slav	52	01.08.1960	 РУКОВОДСТВО 	23.09.2009	ГЕН. ДИРЕКТОР МИД РОССИИ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСОЛ	10.01.2006	45
