table_id	table_name	ind_id	ind_name
Table4.12	Объем просроченной задолженности по кредитам в рублях, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности и физическим лицам (01.04.2005 - 01.04.2006)	344	Юридическим лицам обрабатывающие производства
Table4.12	Объем просроченной задолженности по кредитам в рублях, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности и физическим лицам (01.04.2005 - 01.04.2006)	345	Юридическим лицам производство и распределение электроэнергии, газа и воды
Table4.12	Объем просроченной задолженности по кредитам в рублях, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности и физическим лицам (01.04.2005 - 01.04.2006)	346	Юридическим лицам сельское хозяйство, охота и лесное хозяйство
Table4.12	Объем просроченной задолженности по кредитам в рублях, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности и физическим лицам (01.04.2005 - 01.04.2006)	347	Юридическим лицам строительство
Table4.11	Объем задолженности по кредитам, предоставленным кредитными организациями физическим лицам  (01.04.2005 - 01.04.2006)	340	На покупку жилья в иностранной валюте
Table4.11	Объем задолженности по кредитам, предоставленным кредитными организациями физическим лицам  (01.04.2005 - 01.04.2006)	341	Ипотечные жилищные кредиты в иностранной валюте
Table1.9	Kоличество кредитных организаций региона — контрагентов Банка России (01.10.2004 - 01.01.2007)	342	По депозитным операциям в валюте Российской Федерации
Table4.12	Объем просроченной задолженности по кредитам в рублях, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности и физическим лицам (01.04.2005 - 01.04.2006)	343	Юридическим лицам добыча полезных ископаемых
Table4.12	Объем просроченной задолженности по кредитам в рублях, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности и физическим лицам (01.04.2005 - 01.04.2006)	348	Юридическим лицам транспорт и связь
Table4.12	Объем просроченной задолженности по кредитам в рублях, предоставленным кредитными организациями юридическим лицам по видам экономической деятельности и физическим лицам (01.04.2005 - 01.04.2006)	349	Юридическим лицам оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования
Table4.35	Сведения об объемах кредитования юридических лиц и индивидуальных предпринимателей по видам экономической деятельности в иностранной валюте	719	Всего, в том числе добыча полезных ископаемых
Table4.35	Сведения об объемах кредитования юридических лиц и индивидуальных предпринимателей по видам экономической деятельности в иностранной валюте	718	Всего
Table3.20	Объем банковских вкладов (депозитов) юридических и физических лиц в рублях и иностранной валюте и другие привлеченные средства клиентов	717	Вклады (депозиты) физических лиц всего, в том числе: в иностранной валюте и драгоценных металлах
Table3.20	Объем банковских вкладов (депозитов) юридических и физических лиц в рублях и иностранной валюте и другие привлеченные средства клиентов	716	Вклады (депозиты) физических лиц всего, в том числе: в рублях
Table3.20	Объем банковских вкладов (депозитов) юридических и физических лиц в рублях и иностранной валюте и другие привлеченные средства клиентов	715	Вклады (депозиты) физических лиц всего
Table3.20	Объем банковских вкладов (депозитов) юридических и физических лиц в рублях и иностранной валюте и другие привлеченные средства клиентов	714	Депозиты юридических лиц всего, в том числе: в иностранной валюте и драгоценных металлах
Table3.20	Объем банковских вкладов (депозитов) юридических и физических лиц в рублях и иностранной валюте и другие привлеченные средства клиентов	713	Депозиты юридических лиц всего, в том числе: в рублях
Table3.20	Объем банковских вкладов (депозитов) юридических и физических лиц в рублях и иностранной валюте и другие привлеченные средства клиентов	712	Депозиты юридических лиц всего
Table3.20	Объем банковских вкладов (депозитов) юридических и физических лиц в рублях и иностранной валюте и другие привлеченные средства клиентов	711	Всего, в том числе:  в иностранной валюте и драгоценных металлах
Table3.20	Объем банковских вкладов (депозитов) юридических и физических лиц в рублях и иностранной валюте и другие привлеченные средства клиентов	710	Всего, в том числе: в рублях
Table4.36	Сведения о задолженности по кредитам юридических лиц и индивидуальных предпринимателей по видам экономической деятельности в рублях	736	Всего, в том числе строительство
Tab27.2	Приобретенные ценные бумаги (по головным офисам кредитных организаций и филиалам, расположенным на территории региона)	619	Учтенные векселя с номиналом в рублях
Table1.2	Kоличество действующих кредитных организаций и их филиалов	298	Количество филиалов в регионе кредитных организаций, головная организация которых находится в другом регионе
